clave_municipio,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
6010,57.582605,19.745459,18.080376,37.141207,16.27821,9.833512,45.143444,12.760859,14.21677,10.225246,13.775805,14.535648,18.211335,8.155372,15.798029,17.740807,21.545161,29.400842,17.234967,20.715093,10.157764,7.413526,31.404766,33.214835
7001,21.479337,41.669251,18.093507,29.558827,120.065953,114.212919,40.265677,81.37237,57.076434,37.714781,18.237504,53.126002,63.591565,47.262764,21.460553,115.768558,122.360938,94.376289,90.126577,48.479938,33.299176,18.806172,24.607753,29.849402
7002,33.02249,68.056623,96.157641,126.531233,22.642759,17.927786,112.923544,11.409078,8.234545,51.770964,34.476088,11.660686,31.655699,18.612211,10.806584,10.464129,1.97111,24.156385,10.684586,4.373687,0.943264,5.376661,2.744507,6.868557
7003,55.620672,72.522532,35.013705,122.596763,76.273129,64.820387,72.782938,191.274083,103.215594,67.752022,56.068783,116.036749,228.035585,132.033544,118.685281,183.697327,118.387637,114.15601,193.526697,180.920817,144.663245,123.443306,198.539936,134.91156
7004,252.867384,186.117373,189.336211,291.591216,129.765183,446.356027,208.702696,366.269776,487.571326,338.450448,292.583119,465.416019,532.960991,688.207004,829.818717,2262.895338,1271.609469,1463.063507,1561.88449,1570.459253,932.213236,857.450617,799.652369,1290.435925
7005,42.867691,56.993015,34.018087,76.410266,70.581745,38.253167,81.422605,59.645101,65.608748,50.306768,115.895053,92.4164,236.477361,233.168642,190.420709,612.809143,291.653555,265.379681,587.276564,370.806199,144.861985,82.863371,174.232377,111.816871
7006,12.497202,23.136181,22.804599,59.322579,26.5506,32.828503,24.904817,37.500621,30.688883,27.264991,86.079338,47.323781,28.945521,5.449177,15.663413,22.759246,35.236158,34.18763,15.963088,14.739953,4.91297,9.567201,15.685378,10.084787
7007,49.613553,81.372134,69.376038,64.502551,124.528803,64.896301,61.406581,32.992679,142.89827,38.976959,16.307003,31.625146,19.970139,21.823061,30.33796,85.903092,139.0827,120.52241,146.823295,107.923899,82.065761,156.099041,103.998247,295.149933
7008,93.273351,131.576082,78.165883,156.973706,219.641401,174.182334,197.095078,168.072402,295.664855,413.807122,377.896743,306.924869,198.140069,80.973449,82.802563,215.404228,353.279447,554.072366,157.969973,154.408503,156.862066,94.416916,78.117403,107.667494
7009,265.048886,183.610709,143.975508,407.148225,145.459352,202.494396,256.892504,169.177914,283.065478,204.376563,103.087387,241.983726,184.853657,163.224918,105.872756,207.456038,178.105621,205.503129,89.826169,109.135035,173.360384,45.477354,119.457818,127.931568
7010,10.352491,19.554502,2.856844,33.481881,12.070175,22.184524,13.01993,25.265241,17.846545,16.219512,43.681353,9.809645,23.554291,7.932611,11.640602,21.644138,20.139508,53.064064,15.434404,41.989031,17.895794,7.482786,5.604642,4.138817
7011,6.46255,27.179476,15.506794,44.904686,20.678616,43.950204,17.892993,32.160362,11.808596,11.429352,68.286703,20.899983,32.937429,8.185482,16.300569,28.264031,18.55933,38.977297,17.77345,16.116475,9.306769,10.684505,5.349347,4.136458
7012,78.337053,73.154296,78.308375,130.981503,101.194963,23.880327,161.571346,71.647002,73.467684,55.854962,238.960023,37.279987,203.519303,80.395726,167.95314,440.715979,198.571101,366.361595,139.375382,111.560063,104.530859,70.045599,196.62037,157.582157
7013,131.407227,103.099713,110.344677,282.71312,46.283545,115.787526,256.862764,62.112015,79.486227,98.574631,262.283223,80.707238,119.541085,127.134549,72.618028,154.93955,95.52244,180.204716,152.732322,45.405315,49.406547,45.944286,83.242439,55.54223
7014,57.765249,64.413265,18.178058,86.23911,43.461997,25.403662,64.807184,33.542132,57.448542,50.564802,58.007283,51.243331,67.932467,42.062337,77.406107,225.87615,158.162029,166.187233,149.613804,146.763493,92.956695,48.460284,133.320546,96.20337
